languages;percent;year
Romanian;0.404;2012
Russian;0.18;2012
English;0.149;2012
Other;0.267;2012
Romanian;0.695;2014
Russian;0.256;2014
English;0.047;2014
Other;0.001;2014
Romanian;0.719;2013-2017
Russian;0.214;2013-2017
English;0.067;2013-2017
Other;0.000;2013-2017
Romanian;0.726;2017
Russian;0.201;2017
English;0.072;2017
Other;0;2017
Romanian;0.725;2016
Russian;0.212;2016
English;0.063;2016
Other;0.000;2016
Romanian;0.743;2015
Russian;0.196;2015
English;0.061;2015
Other;0;2015
Romanian;0.711;2014
Russian;0.224;2014
English;0.066;2014
Other;0;2014
Romanian;0.723;2013
Russian;0.229;2013
English;0.048;2013
Other;0;2013
